id	sex	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2007	2008	2009	2010	2011	2012	2013	2014
47904	m	0	0	0	0	S	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47905	f	0	0	0	0	0	S	0	S	0	S	0	N	F	0	0	0	0	0	0	0
47906	m	0	0	0	0	0	S	0	S	A	S	0	N	S	0	F	F	B	F	B	B
47907	f	0	0	0	0	0	S	0	S	0	S	0	N	F	S	0	0	0	0	0	0
47908	f	0	0	0	0	0	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47909	m	0	0	0	0	0	F	B	S	0	S	0	N	B	B	F	S	0	B	B	S
47911	m	0	0	0	0	F	B	S	0	B	B	S	0	0	B	B	B	B	B	B	B
47912	f	0	0	0	0	0	S	A	S	0	S	0	F	0	0	0	0	0	0	0	0
47913	m	0	0	0	0	0	S	0	S	A	S	A	N	S	0	0	0	0	0	0	0
47916	f	0	0	0	0	0	F	S	0	F	S	A	N	0	0	0	0	0	0	0	0
47917	m	0	0	0	0	0	S	0	B	B	B	F	0	0	0	0	0	0	0	0	0
47918	m	0	0	0	0	0	S	0	B	B	S	0	N	0	0	0	0	0	0	0	0
47919	f	0	0	0	0	S	0	S	0	S	0	S	0	0	F	0	0	0	0	0	0
47920	m	0	0	0	0	F	B	B	B	B	0	0	B	B	F	0	B	0	0	0	0
47921	m	0	0	0	0	S	0	S	0	S	0	0	0	0	0	0	0	0	0	0	0
47922	f	0	0	0	0	0	S	0	S	0	S	0	N	0	0	0	0	0	0	0	0
47923	m	0	0	0	0	0	0	0	S	0	S	0	N	B	S	0	0	0	0	0	0
47924	f	0	0	0	0	0	S	A	S	0	S	A	N	B	F	0	S	0	B	B	0
47925	f	0	0	0	0	0	0	0	0	0	0	F	B	0	0	0	0	0	0	0	0
47926	f	0	0	0	0	S	0	S	0	S	0	S	0	F	F	F	F	F	F	F	S
47927	m	0	0	0	0	0	S	0	S	0	S	A	N	0	S	0	F	S	0	F	S
47928	m	0	0	0	0	0	0	S	0	S	0	S	0	B	B	B	B	B	B	B	B
47930	m	0	0	0	0	0	S	0	S	0	S	0	N	S	0	S	0	B	B	B	B
47932	f	0	0	0	0	F	0	0	0	0	0	0	0	0	0	0	0	0	B	0	B
47933	m	0	0	0	0	0	S	0	F	S	0	F	N	0	B	0	B	B	B	B	B
47934	f	0	0	0	0	0	F	0	S	0	S	0	N	0	0	0	0	0	0	0	0
47936	m	0	0	0	0	S	0	B	B	B	B	F	0	0	0	0	0	0	0	0	0
